time_s,altitude_km,velocity_ms,mach,heat_flux_Wm2
2.643351024943799032e+00,1.180745186296574047e+02,7.599960401510684278e+03,2.772679998504315790e+01,1.397984011772520171e+04
2.677680281226597181e+00,1.180495123780945335e+02,7.599960263742805182e+03,2.772679948242706160e+01,1.400343142855091719e+04
2.712009538131717079e+00,1.180245061265316338e+02,7.599960125495616012e+03,2.772679897806230542e+01,1.402706535995932063e+04
2.746338795661304122e+00,1.179994998749687340e+02,7.599959986767450573e+03,2.772679847194281422e+01,1.405074192452125681e+04
2.780668053817510366e+00,1.179744936234058486e+02,7.599959847556633576e+03,2.772679796406247377e+01,1.407446113672278079e+04
2.814997312602556256e+00,1.179494873718429631e+02,7.599959707861487004e+03,2.772679745441516275e+01,1.409822301288436574e+04
2.849326572018589854e+00,1.179244811202800776e+02,7.599959567680326472e+03,2.772679694299473496e+01,1.412202757108453443e+04
2.883655832067845814e+00,1.178994748687171779e+02,7.599959427011459411e+03,2.772679642979501580e+01,1.414587483108788729e+04
2.917985092752507725e+00,1.178744686171542924e+02,7.599959285853190522e+03,2.772679591480981998e+01,1.416976481427682484e+04
2.952314354074766278e+00,1.178494623655914069e+02,7.599959144203816322e+03,2.772679539803293736e+01,1.419369754358737009e+04
2.986643616036879223e+00,1.178244561140285072e+02,7.599959002061627871e+03,2.772679487945812582e+01,1.421767304344818695e+04
3.020972878641053239e+00,1.177994498624656075e+02,7.599958859424911680e+03,2.772679435907913614e+01,1.424169133972285817e+04
3.055302141889502110e+00,1.177744436109027362e+02,7.599958716291946985e+03,2.772679383688969423e+01,1.426575245965532122e+04
3.089631405784507123e+00,1.177494373593398365e+02,7.599958572661006656e+03,2.772679331288349758e+01,1.428985643181803061e+04
3.123960670328298050e+00,1.177244311077769368e+02,7.599958428530357196e+03,2.772679278705421879e+01,1.431400328606288531e+04
3.158289935523111769e+00,1.176994248562140513e+02,7.599958283898263289e+03,2.772679225939553049e+01,1.433819305347457521e+04
3.192619201371253546e+00,1.176744186046511658e+02,7.599958138762977796e+03,2.772679172990105556e+01,1.436242576632639248e+04
3.226948467874956261e+00,1.176494123530882803e+02,7.599957993122750850e+03,2.772679119856441332e+01,1.438670145803801825e+04
3.261277735036540726e+00,1.176244061015253806e+02,7.599957846975825305e+03,2.772679066537919113e+01,1.441102016313575587e+04
3.295607002858275791e+00,1.175993998499624809e+02,7.599957700320438562e+03,2.772679013033896211e+01,1.443538191721432668e+04
3.329936271342438303e+00,1.175743935983996096e+02,7.599957553154821653e+03,2.772678959343726390e+01,1.445978675690075215e+04
