Mach,altitude_km,V_ms,T0_K,q_FayRiddell_Wm2,q_SuttonGraves_Wm2
5.000000000000000000e+00,4.000000000000000000e+01,1.585961525542154959e+03,1.502099999999999682e+03,2.148633667986644650e+04,2.436484448082480230e+04
7.500000000000000000e+00,4.500000000000000000e+01,2.443676073214287499e+03,3.235960000000000036e+03,5.984935145870975248e+04,6.252430237338062580e+04
1.000000000000000000e+01,5.000000000000000000e+01,3.298016779520685759e+03,5.683649999999998727e+03,1.107393940160439670e+05,1.110744660744631110e+05
1.500000000000000000e+01,6.000000000000000000e+01,4.726135435575243719e+03,1.136291999999999825e+04,1.861222649660655588e+05,1.795069423260813928e+05
2.000000000000000000e+01,7.000000000000000000e+01,5.941349769471580657e+03,1.778678999999999724e+04,1.958783027283986448e+05,1.844329781801285862e+05
2.500000000000000000e+01,7.500000000000000000e+01,7.234986268127950098e+03,2.625839999999999418e+04,2.508506149472690304e+05,2.312033320565304602e+05
