cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,    y-coordinate,pressure-coefficient
        44,-1.356002331E+00, 1.929227948E+00, 1.111436844E+00, 1.933027864E+00,-1.019653515E-03
        45,-9.579933286E-01, 2.400281906E+00, 1.008770943E+00, 2.403980494E+00, 7.531752810E-03
        46,-1.393980622E+00, 1.894312382E+00, 1.104843974E+00, 1.903314829E+00,-6.527159829E-03
        47,-1.242541671E+00, 1.716676593E+00, 1.176338792E+00, 1.713957787E+00, 1.817547530E-02
        48,-1.089626312E+00, 2.501714945E+00, 9.737284780E-01, 2.505620956E+00, 2.307272516E-03
        49,-1.140157819E+00, 1.867609382E+00, 1.137117505E+00, 1.870134950E+00, 1.691056229E-02
        50,-1.015850544E+00, 1.509591579E+00, 1.226475596E+00, 1.511700869E+00, 1.569803804E-02
        51,-1.063462377E+00, 2.533270121E+00, 9.662685394E-01, 2.536494255E+00, 3.111231374E-03
        52,-9.336896539E-01, 2.366880894E+00, 1.019909978E+00, 2.360271454E+00, 9.815458208E-03
        53,-1.001653075E+00, 1.679663062E+00, 1.188158512E+00, 1.690406203E+00, 2.120839059E-02
        54,-1.023824811E+00, 2.522796392E+00, 9.719953537E-01, 2.528638601E+00, 3.597617382E-03
        55,-9.996698499E-01, 2.678149223E+00, 9.265179038E-01, 2.684843063E+00, 8.032644400E-04
        56,-1.247301936E+00, 1.845462680E+00, 1.147324324E+00, 1.847348332E+00, 1.143685635E-02
        57,-1.306923270E+00, 1.642610192E+00, 1.196540356E+00, 1.642596960E+00, 6.246344652E-03
        58,-6.788969636E-01, 3.351601362E+00, 7.441382408E-01, 3.347686529E+00,-2.818949986E-03
        59,-1.002569795E+00, 2.823278666E+00, 8.750314713E-01, 2.824783564E+00,-2.434598282E-03
        60,-1.275359511E+00, 1.984329581E+00, 1.111185670E+00, 1.988028884E+00, 4.064600449E-03
        61,-5.405643582E-01, 3.905853271E+00, 4.664118290E-01, 3.914521933E+00,-2.178734867E-03
        62,-1.059395790E+00, 1.617418170E+00, 1.192161202E+00, 1.622054696E+00, 2.183789201E-02
        63,-6.748635173E-01, 3.450454950E+00, 7.000860572E-01, 3.462309361E+00,-6.161025260E-03
        64,-1.186865449E+00, 2.383232594E+00, 9.963295460E-01, 2.387553453E+00, 9.374565561E-04
        65,-1.212804675E+00, 2.322587013E+00, 1.010716081E+00, 2.328291893E+00, 1.401235233E-03
        66,-1.070958257E+00, 2.459580660E+00, 9.876736999E-01, 2.463043451E+00, 3.854508046E-03
        67,-1.183414340E+00, 2.488512754E+00, 9.506153464E-01, 2.493003845E+00,-2.293846570E-03
        68,-7.172415257E-01, 3.453105211E+00, 6.795843244E-01, 3.457246542E+00,-3.858314594E-03
        69,-8.895359039E-01, 3.220022202E+00, 7.290793061E-01, 3.224893808E+00,-1.379002584E-03
        70,-9.195483327E-01, 3.064645767E+00, 7.968613505E-01, 3.071568966E+00,-2.731769579E-03
        71,-1.005589366E+00, 1.644036651E+00, 1.196281075E+00, 1.642018557E+00, 2.194673009E-02
        72,-8.275837302E-01, 3.281755209E+00, 7.251181006E-01, 3.287625551E+00,-2.797640627E-03
        73,-9.352135062E-01, 2.039249420E+00, 1.110219121E+00, 2.036674500E+00, 1.994391531E-02
        74,-7.123594284E-01, 3.603220224E+00, 5.877816677E-01, 3.614531517E+00, 8.701783954E-04
        75,-6.274923682E-01, 3.552262306E+00, 6.708955169E-01, 3.554163933E+00,-5.603595171E-03
        76,-1.205272317E+00, 1.509195328E+00, 1.215354800E+00, 1.518830180E+00, 2.368243784E-02
        77,-1.089617729E+00, 2.426757574E+00, 9.963309169E-01, 2.438426018E+00, 2.607437549E-03
        78,-8.260474205E-01, 3.346808672E+00, 6.877784729E-01, 3.357339621E+00,-2.739913063E-03
        79,-9.857522845E-01, 1.810647607E+00, 1.158392072E+00, 1.811103344E+00, 2.379721589E-02
        80,-1.717483878E+00, 1.719874740E+00, 6.911092401E-01, 1.723642468E+00,-2.860738896E-03
        81,-1.157979012E+00, 1.538706303E+00, 1.206579089E+00, 1.540963531E+00, 2.620968223E-02
        82,-1.100133538E+00, 1.413446307E+00, 1.232760310E+00, 1.418476224E+00, 1.966655813E-02
        83,-9.438409805E-01, 2.333360434E+00, 1.027880073E+00, 2.335131407E+00, 1.008236781E-02
        84,-9.389510155E-01, 2.435159445E+00, 1.000696540E+00, 2.445351124E+00, 6.881113164E-03
        85,-1.248135686E+00, 2.106102228E+00, 1.077695370E+00, 2.110245705E+00, 3.594886512E-03
        86,-9.408931732E-01, 2.506981134E+00, 9.804289937E-01, 2.509717703E+00, 6.465082522E-03
        87,-7.552382946E-01, 3.194372177E+00, 7.827571034E-01, 3.194595337E+00,-1.885956619E-03
        88,-1.125814319E+00, 2.432296753E+00, 9.917759299E-01, 2.435711145E+00, 2.943222178E-03
        89,-1.210319400E+00, 2.102719307E+00, 1.082237363E+00, 2.099220037E+00, 5.785289221E-03
        90,-6.400813460E-01, 3.583312750E+00, 6.459297538E-01, 3.588727951E+00,-4.921123851E-03
        91,-1.197775722E+00, 2.068417311E+00, 1.091775537E+00, 2.073493242E+00, 6.489232183E-03
        92,-9.870209098E-01, 2.750375986E+00, 9.043328166E-01, 2.755034924E+00,-2.391966555E-04
        93,-8.976061940E-01, 2.429073095E+00, 1.007664680E+00, 2.422996283E+00, 1.004140079E-02
        94,-1.105538368E+00, 1.497688174E+00, 1.214786053E+00, 1.503479838E+00, 2.034355700E-02
        95,-1.065648675E+00, 2.382417440E+00, 1.010017395E+00, 2.392519236E+00, 5.564709660E-03
        96,-1.030114770E+00, 2.801000357E+00, 8.773586750E-01, 2.808074713E+00,-2.549949335E-03
        97,-1.086019993E+00, 2.347688675E+00, 1.019146442E+00, 2.350995779E+00, 5.092340056E-03
        98,-1.015470982E+00, 1.997154832E+00, 1.107656837E+00, 1.992294550E+00, 1.848617941E-02
        99,-1.123373389E+00, 2.358211517E+00, 1.014577746E+00, 2.358887672E+00, 4.745764658E-03
       100,-1.209188819E+00, 1.952074170E+00, 1.120653033E+00, 1.951611280E+00, 9.825635701E-03
       101,-1.255411506E+00, 1.916204453E+00, 1.130297065E+00, 1.916394353E+00, 6.333033554E-03
       102,-1.201139212E+00, 2.432680130E+00, 9.669650197E-01, 2.443670511E+00,-5.913202767E-04
       103,-1.226644874E+00, 1.760678172E+00, 1.165616035E+00, 1.766677499E+00, 1.819670387E-02
       104,-8.253242373E-01, 3.246767759E+00, 7.423368096E-01, 3.249482155E+00,-3.543783445E-03
       105,-9.254251122E-01, 2.190539360E+00, 1.070095897E+00, 2.193925381E+00, 1.437611226E-02
       106,-6.185840964E-01, 3.614230871E+00, 6.400256157E-01, 3.624308586E+00,-6.726193242E-03
       107,-1.020558715E+00, 2.901288748E+00, 8.328903317E-01, 2.908139229E+00,-4.079046194E-03
       108,-1.018240094E+00, 2.062466860E+00, 1.092177391E+00, 2.066353559E+00, 1.711063460E-02
       109,-1.139198661E+00, 2.398479223E+00, 1.000893593E+00, 2.399981737E+00, 2.461169381E-03
       110,-1.408239961E+00, 1.845413685E+00, 1.118480444E+00, 1.848668575E+00,-9.576209821E-03
       111,-9.140712619E-01, 2.150130272E+00, 1.084297538E+00, 2.151915550E+00, 1.604979485E-02
       112,-9.385433197E-01, 2.821513176E+00, 8.856801391E-01, 2.819554090E+00, 6.927042850E-04
       113,-1.147585869E+00, 9.366204143E-01, 1.323602200E+00, 9.463333488E-01, 1.800916158E-02
       114,-6.618890762E-01, 3.641366720E+00, 5.955649018E-01, 3.647880793E+00,-1.386459335E-03
       115,-1.005582213E+00, 2.480145693E+00, 9.846665263E-01, 2.483824968E+00, 5.070336629E-03
       116,-1.124575734E+00, 9.653456211E-01, 1.322012305E+00, 9.678772688E-01, 1.767264679E-02
       117,-1.057408690E+00, 2.013676405E+00, 1.102541327E+00, 2.014214277E+00, 1.596308500E-02
       118,-8.500542641E-01, 2.549870729E+00, 9.810509682E-01, 2.557183027E+00, 7.148207631E-03
       119,-1.170982838E+00, 1.073081374E+00, 1.295703530E+00, 1.068779349E+00, 1.654660702E-02
       120,-1.262136459E+00, 1.495702386E+00, 1.223284364E+00, 1.496354580E+00, 2.118012309E-02
       121,-1.056514382E+00, 1.462223411E+00, 1.227775216E+00, 1.465468526E+00, 1.451095752E-02
       122,-9.583768845E-01, 1.750382066E+00, 1.184459686E+00, 1.750577450E+00, 2.216242626E-02
       123,-9.504275322E-01, 1.970148683E+00, 1.124724865E+00, 1.969257355E+00, 2.236348204E-02
       124,-1.028737187E+00, 1.470846772E+00, 1.232021809E+00, 1.471936107E+00, 1.379516441E-02
       125,-1.300180435E+00, 2.009918928E+00, 1.099215627E+00, 2.007220984E+00, 2.233926440E-03
       126,-9.749636650E-01, 2.872267962E+00, 8.624419570E-01, 2.877067804E+00,-2.904827241E-03
       127,-1.328340292E+00, 1.989519715E+00, 1.098847985E+00, 1.995363235E+00, 1.950173464E-04
       128,-8.024488091E-01, 3.107777834E+00, 8.048698306E-01, 3.119072676E+00,-2.261399990E-03
       129,-9.157590270E-01, 3.151311874E+00, 7.534568906E-01, 3.157744646E+00,-1.085251453E-03
       130,-1.075190544E+00, 2.228177786E+00, 1.050515294E+00, 2.222150803E+00, 9.294134565E-03
       131,-1.026551723E+00, 2.448485374E+00, 9.928849339E-01, 2.460079670E+00, 4.347139038E-03
       132,-1.276996136E+00, 1.543321013E+00, 1.215339541E+00, 1.546095252E+00, 1.431969367E-02
       133,-1.064182639E+00, 2.051128626E+00, 1.093615532E+00, 2.042303801E+00, 1.494827401E-02
       134,-1.262614250E+00, 2.070164919E+00, 1.086802006E+00, 2.066896439E+00, 2.611778444E-03
       135,-1.215542912E+00, 1.550628185E+00, 1.208106875E+00, 1.549904823E+00, 2.524087951E-02
       136,-1.331321359E+00, 1.947365403E+00, 1.113063931E+00, 1.946630836E+00, 1.628230966E-04
       137,-7.666144967E-01, 3.124238968E+00, 8.066987991E-01, 3.125777483E+00,-1.228463603E-03
       138,-1.230157614E+00, 2.047358990E+00, 1.096268892E+00, 2.044866085E+00, 5.896304268E-03
       139,-1.074386716E+00, 1.500363469E+00, 1.216540694E+00, 1.505486369E+00, 1.981898770E-02
       140,-7.454528213E-01, 3.102599144E+00, 8.208227158E-01, 3.109547615E+00,-5.884956336E-04
       141,-6.626369953E-01, 3.415492296E+00, 7.227888107E-01, 3.415496111E+00,-4.088618793E-03
       142,-1.185723305E+00, 1.569923401E+00, 1.202094555E+00, 1.564376235E+00, 2.878603898E-02
       143,-8.244037628E-01, 3.000574112E+00, 8.397521377E-01, 3.005571365E+00,-8.507078746E-04
       144,-1.324348927E+00, 1.866564631E+00, 1.140036821E+00, 1.879164457E+00, 1.001844998E-03
       145,-7.654449344E-01, 3.037960052E+00, 8.394031525E-01, 3.044298410E+00,-4.091176670E-04
       146,-1.004341602E+00, 2.328171253E+00, 1.025546074E+00, 2.326226711E+00, 8.337623440E-03
       147,-1.708246112E+00, 1.399516702E+00, 4.745473564E-01, 1.402217388E+00, 2.194380201E-02
       148,-6.063085794E-01, 3.671317339E+00, 6.114808321E-01, 3.678466797E+00,-4.782038275E-03
       149,-8.824524879E-01, 3.078164816E+00, 8.003485799E-01, 3.081708193E+00,-3.003646852E-03
       150,-1.367773056E+00, 1.896726131E+00, 1.119307160E+00, 1.908651471E+00,-3.912950866E-03
       151,-1.030432105E+00, 2.295065880E+00, 1.033625603E+00, 2.301397562E+00, 7.745900191E-03
       152,-1.036161065E+00, 2.870233297E+00, 8.411395550E-01, 2.871718168E+00,-3.147327108E-03
       153,-8.224027753E-01, 2.739324570E+00, 9.276928902E-01, 2.743122578E+00, 4.391757771E-03
       154,-1.014797568E+00, 2.100084543E+00, 1.083187342E+00, 2.108923674E+00, 1.326182391E-02
       155,-1.131769180E+00, 2.074436426E+00, 1.089234471E+00, 2.077732801E+00, 9.239871055E-03
       156,-9.026119113E-01, 2.508555651E+00, 9.836152196E-01, 2.510898590E+00, 7.229704875E-03
       157,-1.134204745E+00, 1.267177105E+00, 1.260119796E+00, 1.271945477E+00, 1.845402271E-02
       158,-1.109147191E+00, 3.148917437E+00, 4.328519106E-01, 3.158253431E+00,-1.147161238E-03
       159,-1.087805748E+00, 1.642983437E+00, 1.185283661E+00, 1.648452163E+00, 2.677326649E-02
       160,-1.152582765E+00, 2.482443810E+00, 9.681310654E-01, 2.491167545E+00,-5.094639491E-04
       161,-1.049133301E+00, 1.831836820E+00, 1.144433618E+00, 1.837496877E+00, 2.179067582E-02
       162,-1.086223483E+00, 2.190582275E+00, 1.059964657E+00, 2.193954229E+00, 8.321365342E-03
       163,-5.907116532E-01, 3.755321503E+00, 5.615125299E-01, 3.766653061E+00,-2.647200366E-03
       164,-8.844690919E-01, 2.546092510E+00, 9.753000140E-01, 2.554349422E+00, 6.429871079E-03
       165,-8.368428349E-01, 2.523705721E+00, 9.930537343E-01, 2.524621487E+00, 8.977659047E-03
       166,-6.866508126E-01, 3.880744696E+00, 2.549414635E-01, 3.888993979E+00,-5.677870940E-03
       167,-1.628728747E+00, 1.948938847E+00, 6.531988978E-01, 1.961060047E+00, 1.113609411E-03
       168,-1.016761184E+00, 1.854263663E+00, 1.142032862E+00, 1.866519213E+00, 2.269948460E-02
       169,-8.596671224E-01, 3.009939909E+00, 8.305415511E-01, 3.012595654E+00,-1.193543547E-03
       170,-1.601084828E+00, 2.019680023E+00, 6.415842175E-01, 2.027876377E+00, 3.021918237E-03
       171,-7.999432087E-01, 3.035524607E+00, 8.317620754E-01, 3.042472124E+00,-7.578678778E-04
       172,-9.009646773E-01, 2.219399214E+00, 1.067960382E+00, 2.225036860E+00, 1.416859031E-02
       173,-1.167134166E+00, 1.142213702E+00, 1.283226609E+00, 1.140424371E+00, 1.622725837E-02
       174,-1.189214587E+00, 1.115211725E+00, 1.287953019E+00, 1.120172858E+00, 1.598677225E-02
       175,-1.015621901E+00, 2.253022194E+00, 1.044534683E+00, 2.256210804E+00, 9.323038161E-03
       176,-7.255227566E-01, 3.821146727E+00, 2.765005827E-01, 3.832223654E+00,-5.421523936E-03
       177,-9.759220481E-01, 2.709678650E+00, 9.184120297E-01, 2.708490372E+00, 1.330841216E-03
       178,-9.778971672E-01, 1.945971966E+00, 1.125405788E+00, 1.951124787E+00, 1.943422109E-02
       179,-9.819878936E-01, 2.901122332E+00, 8.493357301E-01, 2.898708820E+00,-2.308765426E-03
       180,-1.314379811E+00, 1.691032290E+00, 1.185978055E+00, 1.694185495E+00, 6.790757179E-03
       181,-6.058470607E-01, 3.481927156E+00, 7.214813232E-01, 3.485913515E+00,-5.622445140E-03
       182,-1.285390377E+00, 1.718770027E+00, 1.178428769E+00, 1.714988708E+00, 1.419500262E-02
       183,-7.408615947E-01, 3.327740908E+00, 7.309824824E-01, 3.329791307E+00,-3.686215263E-03
       184,-6.831898689E-01, 3.609226227E+00, 6.045622826E-01, 3.623775482E+00,-1.225631218E-03
       185,-1.143743038E+00, 2.015936613E+00, 1.103544831E+00, 2.017380953E+00, 1.004933845E-02
       186,-7.663707137E-01, 3.298871994E+00, 7.362076640E-01, 3.304906607E+00,-4.590786994E-03
       187,-1.357813478E+00, 1.870901108E+00, 1.132171273E+00, 1.872429013E+00,-1.514523756E-03
       188,-1.075511932E+00, 1.576023698E+00, 1.199893475E+00, 1.579246283E+00, 2.257835492E-02
       189,-1.423514366E+00, 1.788226485E+00, 1.134809971E+00, 1.786320686E+00,-7.284074556E-03
       190,-5.111218691E-01, 3.909432411E+00, 4.936794341E-01, 3.912588596E+00,-2.239110181E-03
       191,-8.787501454E-01, 2.395870924E+00, 1.021208882E+00, 2.398094654E+00, 1.055403519E-02
       192,-1.574493885E+00, 2.088429451E+00, 6.334148049E-01, 2.092904329E+00, 1.726871007E-03
       193,-8.957912922E-01, 2.368556023E+00, 1.025379777E+00, 2.377608299E+00, 1.101595722E-02
       194,-9.767548442E-01, 2.244439840E+00, 1.048661232E+00, 2.250905037E+00, 1.214374416E-02
       195,-1.150485039E+00, 2.455836058E+00, 9.792029262E-01, 2.454600573E+00,-1.107837888E-03
       196,-7.481299043E-01, 3.163767099E+00, 7.968516350E-01, 3.171641350E+00,-1.375210355E-03
       197,-1.068415046E+00, 1.417498469E+00, 1.235781193E+00, 1.421515346E+00, 2.051713318E-02
       198,-1.147063732E+00, 2.113173485E+00, 1.080243230E+00, 2.122174501E+00, 8.083595894E-03
       199,-8.565778732E-01, 3.050838709E+00, 8.162484169E-01, 3.061213970E+00,-2.047588350E-03
       200,-1.244112849E+00, 1.990196228E+00, 1.111206412E+00, 1.992428780E+00, 4.320336506E-03
       201,-5.279553533E-01, 3.828750849E+00, 5.527566075E-01, 3.838319778E+00,-4.155704286E-03
       202,-1.131001830E+00, 1.191762447E+00, 1.275890708E+00, 1.200201631E+00, 2.275732532E-02
       203,-8.298535943E-01, 2.582352638E+00, 9.763731956E-01, 2.585612535E+00, 7.975275628E-03
       204,-1.113980174E+00, 1.025939941E+00, 1.311777949E+00, 1.029856920E+00, 1.793840341E-02
       205,-6.923391819E-01, 3.387488127E+00, 7.222386003E-01, 3.394492865E+00,-5.085771438E-03
       206,-1.267725825E+00, 1.884484768E+00, 1.138283253E+00, 1.892604589E+00, 4.703962244E-03
       207,-1.036114335E+00, 2.223615408E+00, 1.051646709E+00, 2.218778610E+00, 1.061581261E-02
       208,-1.111862063E+00, 1.831666589E+00, 1.144062638E+00, 1.837369204E+00, 2.014433220E-02
       209,-9.708113670E-01, 2.315240622E+00, 1.030195832E+00, 2.321541309E+00, 8.356565610E-03
       210,-7.502703667E-01, 3.417892456E+00, 6.846842170E-01, 3.421784401E+00,-2.312227385E-03
       211,-4.679250419E-01, 3.899816751E+00, 5.416822433E-01, 3.901772738E+00,-6.162703969E-03
       212,-9.817919135E-01, 1.570543647E+00, 1.224373937E+00, 1.573160172E+00, 1.836173050E-02
       213,-8.563957214E-01, 3.217478752E+00, 7.465350628E-01, 3.214760542E+00,-2.641168889E-03
       214,-1.053503275E+00, 2.126758814E+00, 1.075397611E+00, 2.130097151E+00, 1.090693101E-02
       215,-1.116415024E+00, 1.902130604E+00, 1.128694654E+00, 1.913269877E+00, 1.715145074E-02
       216,-1.007260680E+00, 2.854122877E+00, 8.619100451E-01, 2.847916603E+00,-1.044612029E-03
       217,-1.123136163E+00, 1.616416454E+00, 1.189926744E+00, 1.622220755E+00, 2.606099285E-02
       218,-7.234461904E-01, 2.951333761E+00, 8.874053359E-01, 2.946234226E+00, 3.740090877E-03
       219,-1.024265885E+00, 2.183970690E+00, 1.061553001E+00, 2.189045191E+00, 1.105134003E-02
       220,-8.266029954E-01, 3.132838249E+00, 7.905015945E-01, 3.137867689E+00,-2.919691615E-03
       221,-1.174737573E+00, 2.436367750E+00, 9.804934859E-01, 2.439999580E+00, 1.177438662E-05
       222,-1.347752094E+00, 1.711356163E+00, 1.181437612E+00, 1.709428430E+00, 1.610092120E-03
       223,-6.126797199E-01, 3.701145887E+00, 5.862874389E-01, 3.711787224E+00,-3.632953623E-03
       224,-1.222938657E+00, 2.017349005E+00, 1.104256153E+00, 2.022358418E+00, 4.553163424E-03
       225,-8.776304126E-01, 2.452198982E+00, 1.004873276E+00, 2.455623865E+00, 8.414644748E-03
       226,-8.200526237E-01, 3.172238588E+00, 7.760513425E-01, 3.185103655E+00,-3.718843916E-03
       227,-7.150018215E-01, 3.169075966E+00, 8.053262830E-01, 3.168461084E+00,-8.326392854E-04
       228,-1.009171128E+00, 1.962044835E+00, 1.116487384E+00, 1.965962052E+00, 1.894875430E-02
       229,-9.580348134E-01, 2.273552656E+00, 1.042401791E+00, 2.272739649E+00, 1.213830523E-02
       230,-8.804458976E-01, 2.484189510E+00, 9.944304824E-01, 2.492624044E+00, 6.792250089E-03
       231,-8.795957565E-01, 2.336729288E+00, 1.038589478E+00, 2.332208872E+00, 1.334481500E-02
       232,-1.052769542E+00, 2.162680626E+00, 1.066709638E+00, 2.173077583E+00, 1.012006588E-02
       233,-9.358844161E-01, 2.581509829E+00, 9.594987035E-01, 2.578438759E+00, 5.024875049E-03
       234,-9.295470715E-01, 2.272729158E+00, 1.045741558E+00, 2.272122145E+00, 1.336902380E-02
       235,-8.600106239E-01, 2.744934082E+00, 9.186730385E-01, 2.747329950E+00, 3.792067757E-03
       236,-9.721029401E-01, 2.808314085E+00, 8.865921497E-01, 2.809654713E+00, 4.222081407E-05
       237,-1.131236911E+00, 1.063907027E+00, 1.301393509E+00, 1.058332205E+00, 1.833767258E-02
       238,-1.126477599E+00, 1.938168049E+00, 1.121010780E+00, 1.940297961E+00, 1.544166170E-02
       239,-1.118512869E+00, 2.131957293E+00, 1.075001001E+00, 2.136262417E+00, 8.302427828E-03
       240,-6.958603263E-01, 3.223051786E+00, 7.910418510E-01, 3.221154213E+00,-1.271753339E-03
       241,-1.127571583E+00, 9.072591662E-01, 1.333054423E+00, 9.034130573E-01, 1.908310317E-02
       242,-8.413501382E-01, 2.613120794E+00, 9.634208679E-01, 2.616436005E+00, 6.757194642E-03
       243,-1.110479712E+00, 1.575823307E+00, 1.198512673E+00, 1.579095840E+00, 2.309023216E-02
       244,-1.280861259E+00, 1.947497845E+00, 1.121193051E+00, 1.960404992E+00, 2.924932400E-03
       245,-9.893930554E-01, 1.841786861E+00, 1.149319291E+00, 1.847463608E+00, 2.000646666E-02
       246,-7.431797981E-01, 3.068251610E+00, 8.347089291E-01, 3.073512077E+00, 1.907726401E-04
       247,-7.991463542E-01, 3.706850052E+00, 3.058166504E-01, 3.714031696E+00,-3.451630007E-03
       248,-9.068073630E-01, 2.253623724E+00, 1.056169748E+00, 2.257793188E+00, 1.227921061E-02
       249,-6.241758466E-01, 3.405497313E+00, 7.480896115E-01, 3.406538010E+00,-3.740299027E-03
       250,-9.143093228E-01, 2.790863037E+00, 8.980128169E-01, 2.796566486E+00, 1.511771930E-03
       251,-9.498941302E-01, 2.622434855E+00, 9.467401505E-01, 2.629242182E+00, 3.453510581E-03
       252,-9.210126400E-01, 2.306894064E+00, 1.037662625E+00, 2.309832335E+00, 1.116863359E-02
       253,-5.580627918E-01, 3.803838730E+00, 5.484418869E-01, 3.813926220E+00,-2.660525031E-03
       254,-8.490917087E-01, 2.495561600E+00, 9.981181026E-01, 2.503513336E+00, 8.578739129E-03
       255,-7.987951636E-01, 3.305161715E+00, 7.232306600E-01, 3.305180550E+00,-3.608284984E-03
       256,-8.671731353E-01, 3.118670702E+00, 7.872211337E-01, 3.129106283E+00,-2.480876632E-03
       257,-9.395806789E-01, 2.697597504E+00, 9.249901772E-01, 2.706491470E+00, 2.572814003E-03
       258,-7.346268296E-01, 2.894309998E+00, 9.039604068E-01, 2.903466463E+00, 2.675849712E-03
       259,-8.374239802E-01, 3.644154310E+00, 3.248059452E-01, 3.653170586E+00,-3.128837096E-03
       260,-7.187989354E-01, 3.119695425E+00, 8.230803609E-01, 3.122369766E+00,-9.194009181E-05
       261,-8.171443939E-01, 3.066285133E+00, 8.174891472E-01, 3.065542459E+00,-1.335548935E-03
       262,-7.375945449E-01, 3.387237787E+00, 7.046356797E-01, 3.392546654E+00,-4.843751900E-03
