x,y,z,r,static_pressure_Pa,Cp_corrected
-9.870209098000000125e-01,2.750375985999999884e+00,9.043328165999999779e-01,1.338666545321167245e+00,1.486791412487499997e+02,-2.755467392735251597e-02
-8.976061939999999684e-01,2.429073095000000126e+00,1.007664679999999979e+00,1.349475819281941824e+00,1.991713248962500131e+02,-1.750637819356411218e-02
-1.105538367999999938e+00,1.497688174000000094e+00,1.214786053000000088e+00,1.642534699080485883e+00,2.960446822900000257e+02,1.772093710385186198e-03
-1.065648675000000045e+00,2.382417440000000219e+00,1.010017394999999985e+00,1.468244610659900085e+00,1.826032073687499917e+02,-2.080354881764993197e-02
-1.030114769999999957e+00,2.801000356999999941e+00,8.773586749999999768e-01,1.353105570149612635e+00,1.376753006125000240e+02,-2.974451474890297403e-02
-1.086019993000000072e+00,2.347688675000000114e+00,1.019146442000000041e+00,1.489328337015374260e+00,1.812155120562499917e+02,-2.107970983666504483e-02
-1.015470982000000078e+00,1.997154832000000102e+00,1.107656836999999950e+00,1.502692577953617548e+00,2.468458553574999996e+02,-8.018815041443198149e-03
-1.123373388999999944e+00,2.358211516999999979e+00,1.014577746000000058e+00,1.513715882783749356e+00,1.807142483037500256e+02,-2.117946480984884972e-02
-1.209188818999999970e+00,1.952074169999999942e+00,1.120653032999999965e+00,1.648636048485751626e+00,1.953580227024999942e+02,-1.826525185275475541e-02
-1.255411505999999955e+00,1.916204452999999974e+00,1.130297064999999934e+00,1.689268926057897469e+00,1.778865387250000367e+02,-2.174219868356898691e-02
-1.201139211999999956e+00,2.432680130000000052e+00,9.669650197000000391e-01,1.541997651077135156e+00,1.528255819475000123e+02,-2.672950338859093194e-02
-1.226644873999999996e+00,1.760678171999999986e+00,1.165616034999999995e+00,1.692134270074215241e+00,2.387850166450000131e+02,-9.622978010726470841e-03
-8.253242373000000409e-01,3.246767758999999920e+00,7.423368096000000360e-01,1.110055870468659611e+00,1.443537618600000201e+02,-2.841545450999512223e-02
-9.254251122000000107e-01,2.190539359999999824e+00,1.070095897000000074e+00,1.414749754220377076e+00,2.226823116525000046e+02,-1.282752830326669771e-02
-6.185840964000000053e-01,3.614230871000000178e+00,6.400256157000000501e-01,8.901005971636962721e-01,1.443221349937500122e+02,-2.842174847635299886e-02
-1.020558714999999950e+00,2.901288747999999806e+00,8.328903317000000417e-01,1.317287514326992870e+00,1.337458835475000285e+02,-3.052649607508532356e-02
-1.018240094000000040e+00,2.062466859999999791e+00,1.092177391000000108e+00,1.493206061613967517e+00,2.402810508962500080e+02,-9.325256789371036067e-03
-1.139198661000000001e+00,2.398479222999999827e+00,1.000893593000000026e+00,1.516430537061504324e+00,1.694975803325000072e+02,-2.341165975134081034e-02
-1.408239961000000040e+00,1.845413685000000026e+00,1.118480444000000018e+00,1.798371010489136834e+00,9.696523802875000797e+01,-3.784610035348610901e-02
-9.140712618999999872e-01,2.150130272000000176e+00,1.084297537999999950e+00,1.418177500436500260e+00,2.328741149787500433e+02,-1.079928855436371529e-02
-9.385433197000000449e-01,2.821513175999999845e+00,8.856801390999999857e-01,1.290462270564192826e+00,1.491879285837500220e+02,-2.745342170892247496e-02
-1.147585869000000036e+00,9.366204142999999815e-01,1.323602200000000062e+00,1.751820798647317545e+00,2.426817600200000129e+02,-8.847498976109211336e-03
-6.618890762000000372e-01,3.641366720000000168e+00,5.955649017999999906e-01,8.903901961774586260e-01,1.703562355075000028e+02,-2.324078139931740755e-02
-1.005582213000000058e+00,2.480145692999999874e+00,9.846665262999999557e-01,1.407396090344749551e+00,1.777241611775000365e+02,-2.177451294490491754e-02
-1.124575733999999994e+00,9.653456210999999954e-01,1.322012305000000110e+00,1.735622976361240744e+00,2.382604812612500211e+02,-9.727364200390048801e-03
-1.057408689999999929e+00,2.013676405000000003e+00,1.102541326999999960e+00,1.527648688485162554e+00,2.310844104974999880e+02,-1.115545219405168417e-02
-8.500542640999999566e-01,2.549870728999999780e+00,9.810509682000000398e-01,1.298096011133517802e+00,1.838254596937500196e+02,-2.056031210385177860e-02
-1.170982838000000026e+00,1.073081374000000032e+00,1.295703529999999937e+00,1.746438789235109423e+00,2.387021736312500195e+02,-9.639464346660161012e-03
-1.262136458999999933e+00,1.495702386000000050e+00,1.223284363999999957e+00,1.757672630595340069e+00,2.618541988212500087e+02,-5.032050304729396815e-03
-1.056514382000000030e+00,1.462223411000000084e+00,1.227775215999999947e+00,1.619769928229527478e+00,2.431205177187500226e+02,-8.760183142369570505e-03
-9.583768845000000258e-01,1.750382066000000014e+00,1.184459686000000067e+00,1.523624297687308893e+00,2.979831004850000227e+02,2.157852413456858194e-03
-9.504275321999999804e-01,1.970148682999999901e+00,1.124724864999999907e+00,1.472521142772846625e+00,2.700690784662500050e+02,-3.397232118478788008e-03
-1.028737186999999942e+00,1.470846772000000025e+00,1.232021808999999912e+00,1.605047643457447437e+00,2.357867049912500192e+02,-1.021966288395904053e-02
-1.300180434999999912e+00,2.009918927999999827e+00,1.099215626999999973e+00,1.702569868815313026e+00,1.686539909425000303e+02,-2.357953990736225830e-02
-9.749636649999999793e-01,2.872267962000000008e+00,8.624419570000000368e-01,1.301675949406849053e+00,1.336378530637500148e+02,-3.054799489273525223e-02
-1.328340292000000034e+00,1.989519714999999911e+00,1.098847984999999916e+00,1.723935853066814516e+00,1.618848079712500123e+02,-2.492665440029254165e-02
-8.024488091000000489e-01,3.107777834000000183e+00,8.048698305999999469e-01,1.136547198947795989e+00,1.339744775512500041e+02,-3.048100427840078411e-02
-9.157590270000000032e-01,3.151311874000000124e+00,7.534568905999999844e-01,1.185880213817823714e+00,1.658242252625000219e+02,-2.414268295953193519e-02
-1.075190544000000026e+00,2.228177785999999827e+00,1.050515293999999988e+00,1.503202278083332954e+00,1.965865367987500179e+02,-1.802076900292539849e-02
-1.026551723000000083e+00,2.448485374000000103e+00,9.928849338999999885e-01,1.428155780004365161e+00,1.755280922237500079e+02,-2.221154594100438820e-02
-1.276996135999999948e+00,1.543321012999999908e+00,1.215339541000000079e+00,1.762886647313723687e+00,2.089506702325000163e+02,-1.556022045343734457e-02
-1.064182638999999986e+00,2.051128626000000121e+00,1.093615532000000057e+00,1.525935654272698283e+00,2.263993686587500065e+02,-1.208780810580204618e-02
-1.262614249999999938e+00,2.070164919000000214e+00,1.086802006000000098e+00,1.665933175295061686e+00,1.753897712874999968e+02,-2.223907276938079380e-02
-1.215542912000000086e+00,1.550628185000000103e+00,1.208106874999999913e+00,1.713787265775920332e+00,2.944939365375000193e+02,1.463484519746471911e-03
-1.331321358999999926e+00,1.947365403000000050e+00,1.113063930999999895e+00,1.735317802427779776e+00,1.517111451800000168e+02,-2.695128405655777479e-02
-7.666144967000000365e-01,3.124238967999999783e+00,8.066987990999999747e-01,1.112861509362228052e+00,1.374327623112500021e+02,-2.979278155777669718e-02
-1.230157613999999899e+00,2.047358990000000212e+00,1.096268892000000106e+00,1.647753998280411025e+00,1.815625293825000028e+02,-2.101065097513408336e-02
