nodenumber     x-coordinate     y-coordinate     z-coordinate     y-coordinate pressure-coefficient 
        63  1.607500762E-02  8.112764359E-01 -1.742833972E+00  8.112764359E-01  3.270491958E-02 
        64  7.124090195E-02  3.789980710E-01 -1.742808819E+00  3.789980710E-01  4.501915574E-01 
        65  1.991932392E-01  7.588954568E-01 -1.742568612E+00  7.588954568E-01  2.320625074E-02 
        66  2.791338265E-01  7.148057818E-01 -1.740811467E+00  7.148057818E-01  2.092414908E-02 
        67  1.359802485E-01  3.789303005E-01 -1.738897204E+00  3.789303005E-01  4.633598030E-01 
        68 -3.461855054E-01  6.728585958E-01 -1.737470865E+00  6.728585958E-01  4.034880921E-02 
        69  2.118659616E-01  3.830729127E-01 -1.734803557E+00  3.830729127E-01  4.856385887E-01 
        70 -4.644607902E-01  5.580000281E-01 -1.733391166E+00  5.580000281E-01  7.397886366E-02 
        71  4.644607902E-01  5.580000281E-01 -1.733391166E+00  5.580000281E-01  7.377725095E-02 
        72 -3.847986460E-01  4.254013896E-01 -1.733090162E+00  4.254013896E-01  3.107295334E-01 
        73  3.847986460E-01  4.254013896E-01 -1.733090162E+00  4.254013896E-01  3.267831504E-01 
        74 -9.731155634E-02  8.467274904E-01 -1.732628822E+00  8.467274904E-01  3.879827261E-02 
        75  4.257472157E-01  6.112581491E-01 -1.732469797E+00  6.112581491E-01  4.174814746E-02 
        76  4.878551960E-01  4.894418120E-01 -1.729048848E+00  4.894418120E-01  1.489800513E-01 
        77 -3.045465052E-01  7.513728738E-01 -1.728864670E+00  7.513728738E-01  3.772655129E-02 
        78 -4.883539677E-01  4.890370667E-01 -1.728833914E+00  4.890370667E-01  1.527659893E-01 
        79  3.920041025E-01  6.717503071E-01 -1.727940917E+00  6.717503071E-01  3.012053110E-02 
        80 -4.264057279E-01  6.415961385E-01 -1.726052403E+00  6.415961385E-01  3.922078386E-02 
        81  1.065014154E-01  8.809244633E-01 -1.724717140E+00  8.809244633E-01  2.557817660E-02 
        82 -2.835375965E-01  3.826383054E-01 -1.724176764E+00  3.826383054E-01  4.380457401E-01 
        83  2.835375965E-01  3.826383054E-01 -1.724176764E+00  3.826383054E-01  5.075498223E-01 
        84  3.545784354E-01  7.283675671E-01 -1.724170327E+00  7.283675671E-01  2.242996544E-02 
        85 -2.247633636E-01  8.365785480E-01 -1.722929716E+00  8.365785480E-01  4.058339819E-02 
        86  2.980107665E-01  7.991493344E-01 -1.719843745E+00  7.991493344E-01  1.937269419E-02 
        87 -4.476182163E-01  4.247366190E-01 -1.717589140E+00  4.247366190E-01  3.208653033E-01 
        88  4.476182163E-01  4.247366190E-01 -1.717589140E+00  4.247366190E-01  3.153232336E-01 
        89  2.233722359E-01  8.640183806E-01 -1.717181444E+00  8.640183806E-01  2.066790499E-02 
        90 -5.289495587E-01  5.580000281E-01 -1.714812279E+00  5.580000281E-01  7.156284153E-02 
        91  5.289495587E-01  5.580000281E-01 -1.714812279E+00  5.580000281E-01  6.974449754E-02 
        92  4.550696909E-01  6.622733474E-01 -1.714401007E+00  6.622733474E-01  3.205307573E-02 
        93 -3.901970014E-02  9.439212680E-01 -1.713811040E+00  9.439212680E-01  3.593443334E-02 
        94  4.914459288E-01  6.184810996E-01 -1.713491917E+00  6.184810996E-01  4.257314280E-02 
        95 -3.471972048E-01  3.818809092E-01 -1.711852193E+00  3.818809092E-01  4.539219439E-01 
        96  3.471972048E-01  3.818809092E-01 -1.711852193E+00  3.818809092E-01  5.225659609E-01 
        97 -5.504445434E-01  4.916141927E-01 -1.710541248E+00  4.916141927E-01  1.444939524E-01 
        98 -4.052142203E-01  7.401770949E-01 -1.710465431E+00  7.401770949E-01  3.389328346E-02 
        99  5.502542257E-01  4.893003702E-01 -1.710188150E+00  4.893003702E-01  1.451683044E-01 
       100 -5.051780343E-01  6.278474331E-01 -1.707540393E+00  6.278474331E-01  4.220660776E-02 
       101 -2.932837978E-02  3.447249830E-01 -1.707239628E+00  3.447249830E-01  6.985267997E-01 
       102  4.368143976E-01  7.236240506E-01 -1.706203580E+00  7.236240506E-01  2.578863315E-02 
       103  3.555062786E-02  3.425462842E-01 -1.704149604E+00  3.425462842E-01  7.334951162E-01 
       104 -1.681952626E-01  3.484868705E-01 -1.704117060E+00  3.484868705E-01  6.858508587E-01 
       105 -9.522172064E-02  3.440079987E-01 -1.703866005E+00  3.440079987E-01  6.964130402E-01 
       106 -1.605044603E-01  9.600170851E-01 -1.703156114E+00  9.600170851E-01  4.118824005E-02 
       107 -5.104081035E-01  4.259868860E-01 -1.700647473E+00  4.259868860E-01  3.061683774E-01 
       108  5.104081035E-01  4.259868860E-01 -1.700647473E+00  4.259868860E-01  3.066886663E-01 
       109  1.002518535E-01  3.413977027E-01 -1.699959397E+00  3.413977027E-01  7.531820536E-01 
       110 -3.569461703E-01  8.422399163E-01 -1.699233413E+00  8.422399163E-01  3.541141748E-02 
       111  4.008455276E-01  8.052463531E-01 -1.697498560E+00  8.052463531E-01  2.025407925E-02 
       112  1.651634127E-01  3.426045477E-01 -1.696580648E+00  3.426045477E-01  7.691121697E-01 
       113  1.836277843E-01  9.824476242E-01 -1.695810676E+00  9.824476242E-01  2.166678198E-02 
       114 -4.099617600E-01  3.791677058E-01 -1.695552588E+00  3.791677058E-01  4.947457314E-01 
       115  4.099617600E-01  3.791677058E-01 -1.695552588E+00  3.791677058E-01  5.440154076E-01 
       116 -5.564035177E-01  6.093948483E-01 -1.695420861E+00  6.093948483E-01  4.122748598E-02 
       117 -5.926985145E-01  5.580000281E-01 -1.693835139E+00  5.580000281E-01  6.111414731E-02 
       118  5.926985145E-01  5.580000281E-01 -1.693835139E+00  5.580000281E-01  6.573428959E-02 
