cellnumber     x-coordinate     y-coordinate     z-coordinate     y-coordinate pressure-coefficient 
        56 -1.247301936E+00  1.845462680E+00  1.147324324E+00  1.847348332E+00  3.330468750E+02 
        57 -1.306923270E+00  1.642610192E+00  1.196540356E+00  1.642596960E+00  2.612098999E+02 
        58 -6.788969636E-01  3.351601362E+00  7.441382408E-01  3.347686529E+00  2.232254791E+02 
        59 -1.002569795E+00  2.823278666E+00  8.750314713E-01  2.824783564E+00  2.221571960E+02 
        60 -1.275359511E+00  1.984329581E+00  1.111185670E+00  1.988028884E+00  2.842518005E+02 
        61 -5.405643582E-01  3.905853271E+00  4.664118290E-01  3.914521933E+00  2.613328552E+02 
        62 -1.059395790E+00  1.617418170E+00  1.192161202E+00  1.622054696E+00  4.862362061E+02 
        63 -6.748635173E-01  3.450454950E+00  7.000860572E-01  3.462309361E+00  2.178357544E+02 
        64 -1.186865449E+00  2.383232594E+00  9.963295460E-01  2.387553453E+00  2.668769531E+02 
        65 -1.212804675E+00  2.322587013E+00  1.010716081E+00  2.328291893E+00  2.727832947E+02 
        66 -1.070958257E+00  2.459580660E+00  9.876736999E-01  2.463043451E+00  2.840283813E+02 
        67 -1.183414340E+00  2.488512754E+00  9.506153464E-01  2.493003845E+00  2.353165741E+02 
        68 -7.172415257E-01  3.453105211E+00  6.795843244E-01  3.457246542E+00  2.580015564E+02 
        69 -8.895359039E-01  3.220022202E+00  7.290793061E-01  3.224893808E+00  2.788313293E+02 
        70 -9.195483327E-01  3.064645767E+00  7.968613505E-01  3.071568966E+00  2.236667786E+02 
        71 -1.005589366E+00  1.644036651E+00  1.196281075E+00  1.642018557E+00  4.960804749E+02 
        72 -8.275837302E-01  3.281755209E+00  7.251181006E-01  3.287625551E+00  2.551947784E+02 
        73 -9.352135062E-01  2.039249420E+00  1.110219121E+00  2.036674500E+00  4.187175293E+02 
        74 -7.123594284E-01  3.603220224E+00  5.877816677E-01  3.614531517E+00  2.927751770E+02 
        75 -6.274923682E-01  3.552262306E+00  6.708955169E-01  3.554163933E+00  2.353067780E+02 
        76 -1.205272317E+00  1.509195328E+00  1.215354800E+00  1.518830180E+00  4.824150696E+02 
        77 -1.089617729E+00  2.426757574E+00  9.963309169E-01  2.438426018E+00  2.742030945E+02 
        78 -8.260474205E-01  3.346808672E+00  6.877784729E-01  3.357339621E+00  2.683606873E+02 
        79 -9.857522845E-01  1.810647607E+00  1.158392072E+00  1.811103344E+00  4.754102783E+02 
        80 -1.717483878E+00  1.719874740E+00  6.911092401E-01  1.723642468E+00  2.219155884E+02 
        81 -1.157979012E+00  1.538706303E+00  1.206579089E+00  1.540963531E+00  5.076179504E+02 
        82 -1.100133538E+00  1.413446307E+00  1.232760310E+00  1.418476224E+00  4.540543518E+02 
        83 -9.438409805E-01  2.333360434E+00  1.027880073E+00  2.335131407E+00  3.268606873E+02 
        84 -9.389510155E-01  2.435159445E+00  1.000696540E+00  2.445351124E+00  3.020197144E+02 
        85 -1.248135686E+00  2.106102228E+00  1.077695370E+00  2.110245705E+00  2.940357056E+02 
        86 -9.408931732E-01  2.506981134E+00  9.804289937E-01  2.509717703E+00  2.962580872E+02 
